symbol,side,entry_time,entry_price,exit_time,exit_price,reason,pnl,label
MEME/USDT,SHORT,2025-07-07 14:19:17,0.001536,2025-07-07 14:35:10,0.001522,TP1,0.009115,1
WIF/USDT,LONG,2025-07-07 13:49:05,0.853600,2025-07-07 15:13:19,0.847900,TP1,-0.006678,1
WIF/USDT,LONG,2025-07-07 14:41:46,0.840500,2025-07-07 15:26:28,0.850100,TP2,0.011422,1
POPCAT/USDT,LONG,2025-07-07 15:35:41,0.294000,2025-07-07 15:37:00,0.292300,SL,-0.005782,0
SOL/USDT,LONG,2025-07-07 13:58:10,152.770000,2025-07-07 15:47:25,151.360000,SL,-0.009230,0
POPCAT/USDT,LONG,2025-07-07 15:43:33,0.292400,2025-07-07 16:03:23,0.289600,SL,-0.009576,0
POPCAT/USDT,SHORT,2025-07-07 16:04:41,0.290600,2025-07-07 16:09:57,0.292200,SL,-0.005506,0
ETH/USDT,LONG,2025-07-07 13:48:56,2556.790000,2025-07-07 16:21:35,2516.310000,TP1,-0.015832,1
XRP/USDT,LONG,2025-07-07 15:26:23,2.339400,2025-07-07 16:21:39,2.322600,SL,-0.007181,0
DOGE/USDT,LONG,2025-07-07 13:55:37,0.169780,2025-07-07 16:21:41,0.167150,SL,-0.015491,0
POPCAT/USDT,LONG,2025-07-07 16:15:12,0.290900,2025-07-07 16:21:45,0.289100,SL,-0.006188,0
LINK/USDT,LONG,2025-07-07 15:26:31,13.546000,2025-07-07 16:21:46,13.425000,SL,-0.008933,0
ALGO/USDT,SHORT,2025-07-07 14:30:00,0.176100,2025-07-07 16:21:48,0.174300,TP1,0.010221,1
ZRX/USDT,LONG,2025-07-07 13:57:03,0.219800,2025-07-07 16:21:49,0.217200,SL,-0.011829,0
LDO/USDT,SHORT,2025-07-07 14:08:55,0.740400,2025-07-07 16:21:51,0.727300,SL,0.017693,1
MEME/USDT,SHORT,2025-07-07 16:23:01,0.001515,2025-07-07 16:26:58,0.001524,SL,-0.005941,0
POPCAT/USDT,SHORT,2025-07-08 09:02:51,0.282000,2025-07-08 09:06:47,0.283500,SL,-0.005319,0
CAKE/USDT,SHORT,2025-07-08 09:02:46,2.244700,2025-07-08 10:14:57,2.256200,SL,-0.005123,0
MEME/USDT,LONG,2025-07-08 09:21:10,0.001497,2025-07-08 10:17:39,0.001511,TP1,0.009352,1
WIF/USDT,SHORT,2025-07-08 10:05:50,0.841000,2025-07-08 10:17:40,0.846100,SL,-0.006064,0
POPCAT/USDT,LONG,2025-07-08 09:08:06,0.283500,2025-07-08 10:17:41,0.286200,TP1,0.009524,1
ZRX/USDT,LONG,2025-07-08 09:39:40,0.215200,2025-07-08 10:17:45,0.217000,TP1,0.008364,1
OP/USDT,LONG,2025-07-08 09:43:38,0.533100,2025-07-08 10:24:20,0.537400,TP1,0.008066,1
ALGO/USDT,LONG,2025-07-08 08:36:39,0.173600,2025-07-08 10:37:25,0.175000,TP1,0.008065,1
DOGE/USDT,LONG,2025-07-08 09:18:32,0.168570,2025-07-08 10:43:52,0.169970,TP1,0.008305,1
POPCAT/USDT,SHORT,2025-07-08 12:04:00,0.287000,2025-07-08 12:10:34,0.288600,SL,-0.005575,0
ETH/USDT,SHORT,2025-07-08 12:15:53,2576.750000,2025-07-08 12:19:49,2573.940000,TP3,0.001091,1
BNB/USDT,SHORT,2025-07-08 12:17:13,661.450000,2025-07-08 12:19:51,661.190000,TP2,0.000393,1
LDO/USDT,SHORT,2025-07-08 12:16:09,0.720700,2025-07-08 12:20:06,0.717000,TP3,0.005134,1
DOGE/USDT,SHORT,2025-07-08 12:20:16,0.171050,2025-07-08 12:21:35,0.170760,TP2,0.001695,1
DOGE/USDT,SHORT,2025-07-08 12:21:35,0.171050,2025-07-08 12:25:32,0.170650,TP3,0.002338,1
POPCAT/USDT,LONG,2025-07-08 12:20:20,0.288800,2025-07-08 12:25:35,0.287000,SL,-0.006233,0
BNB/USDT,SHORT,2025-07-08 12:20:11,661.450000,2025-07-08 12:26:45,661.000000,TP3,0.000680,1
WIF/USDT,LONG,2025-07-08 12:20:19,0.846700,2025-07-08 12:28:12,0.841900,SL,-0.005669,0
XRP/USDT,SHORT,2025-07-08 12:20:14,2.290500,2025-07-08 12:34:41,2.302700,SL,-0.005326,0
ALGO/USDT,SHORT,2025-07-08 12:25:38,0.175600,2025-07-08 12:41:23,0.176500,SL,-0.005125,0
OP/USDT,LONG,2025-07-08 12:20:25,0.542500,2025-07-08 12:53:15,0.544300,TP3,0.003318,1
WIF/USDT,LONG,2025-07-08 12:21:38,0.846700,2025-07-08 12:58:23,0.851900,TP1,0.006141,1
MEME/USDT,LONG,2025-07-08 12:47:52,0.001521,2025-07-08 12:59:41,0.001529,TP1,0.005260,1
WIF/USDT,LONG,2025-07-08 12:22:57,0.846700,2025-07-08 13:03:38,0.853400,TP2,0.007913,1
POPCAT/USDT,LONG,2025-07-08 12:21:39,0.288800,2025-07-08 13:04:58,0.291200,TP1,0.008310,1
ETH/USDT,SHORT,2025-07-08 12:28:03,2571.450000,2025-07-08 13:07:26,2584.470000,SL,-0.005063,0
MEME/USDT,LONG,2025-07-08 12:49:11,0.001521,2025-07-08 13:07:33,0.001533,TP2,0.007890,1
WIF/USDT,LONG,2025-07-08 12:24:15,0.846700,2025-07-08 13:25:57,0.855900,TP3,0.010866,1
POPCAT/USDT,LONG,2025-07-08 12:22:58,0.288800,2025-07-08 13:35:09,0.286500,SL,-0.007964,0
OP/USDT,LONG,2025-07-08 12:21:44,0.542500,2025-07-08 13:37:52,0.542900,SL,0.000737,1
ALGO/USDT,SHORT,2025-07-08 12:26:57,0.175600,2025-07-08 13:45:42,0.177600,TP1,-0.011390,1
MEME/USDT,LONG,2025-07-08 12:50:29,0.001521,2025-07-08 13:46:56,0.001538,TP3,0.011177,1
ALGO/USDT,SHORT,2025-07-08 12:28:16,0.175600,2025-07-08 13:47:01,0.178000,TP2,-0.013667,1
ZRX/USDT,LONG,2025-07-08 12:20:24,0.218100,2025-07-08 13:47:02,0.219900,TP1,0.008253,1
LINK/USDT,LONG,2025-07-08 12:20:21,13.496000,2025-07-08 13:57:30,13.612000,TP1,0.008595,1
WIF/USDT,LONG,2025-07-08 12:25:34,0.846700,2025-07-08 14:01:24,0.846600,SL,-0.000118,0
OP/USDT,LONG,2025-07-08 12:23:03,0.542500,2025-07-08 14:01:30,0.545500,SL,0.005530,1
MEME/USDT,LONG,2025-07-08 12:51:49,0.001521,2025-07-08 14:05:19,0.001528,SL,0.004602,1
ETH/USDT,SHORT,2025-07-08 12:29:22,2571.450000,2025-07-08 14:18:19,2570.660000,SL,0.000307,1
SOL/USDT,LONG,2025-07-08 12:20:13,151.680000,2025-07-08 14:24:55,150.910000,SL,-0.005076,0
DOGE/USDT,SHORT,2025-07-08 12:22:54,0.171050,2025-07-08 14:24:59,0.168940,SL,0.012336,1
ALGO/USDT,SHORT,2025-07-08 12:29:34,0.175600,2025-07-08 14:25:05,0.175700,SL,-0.000569,0
XRP/USDT,LONG,2025-07-08 14:53:33,2.295600,2025-07-08 14:53:33,2.281900,SL,-0.005968,0
POPCAT/USDT,LONG,2025-07-08 14:53:39,0.284100,2025-07-08 14:53:39,0.279900,SL,-0.014784,0
ZRX/USDT,LONG,2025-07-08 14:53:43,0.218100,2025-07-08 14:53:43,0.216900,SL,-0.005502,0
LINK/USDT,LONG,2025-07-08 14:53:41,13.496000,2025-07-08 14:56:19,13.424000,SL,-0.005335,0
XRP/USDT,LONG,2025-07-08 15:04:38,2.282100,2025-07-08 15:17:49,2.295700,TP1,0.005959,1
CAKE/USDT,LONG,2025-07-08 15:04:39,2.270200,2025-07-08 15:25:44,2.258400,SL,-0.005198,0
DOGE/USDT,LONG,2025-07-08 15:17:51,0.169890,2025-07-08 15:25:45,0.169010,SL,-0.005180,0
BNB/USDT,SHORT,2025-07-08 15:04:36,661.060000,2025-07-08 15:29:37,657.660000,TP1,0.005143,1
OP/USDT,LONG,2025-07-08 15:07:28,0.535600,2025-07-08 15:29:51,0.531800,SL,-0.007095,0
