ATR_14,EMA_50,EMA_200,RSI_14,MACD_12_26_9,MACDs_12_26_9,BB_middle,BB_width,VOLUME_EMA,KAMA_10_2_30,CMF_20,RVI_14,volume,label
0.003925,0.308461,0.297729,64.1193,0.002816,0.002002,0.310255,-0.075918,3753712.281431,0.313246,0.161375,60.746062,3827762.1,0
0.003945,0.308898,0.297947,67.936131,0.003044,0.00221,0.31119,-0.07472,3638543.245104,0.313895,0.206287,64.972974,2544437.4,0
0.00392,0.309325,0.298164,68.227317,0.003204,0.002409,0.312005,-0.074619,3717537.402713,0.31478,0.184922,68.59974,4467981.9,0
0.003961,0.309697,0.298369,65.046538,0.003213,0.00257,0.3129,-0.0691,3709874.583407,0.315245,0.22222,61.687296,3637077.8,0
0.00405,0.310179,0.298605,69.88486,0.003439,0.002744,0.31389,-0.06579,3914932.994511,0.316931,0.227419,66.018929,5862987.9,0
0.004211,0.310741,0.298862,73.026242,0.003776,0.00295,0.315035,-0.061445,4138639.023605,0.318924,0.241268,70.666461,6263846.3,0
0.004117,0.311332,0.29913,74.514949,0.004101,0.00318,0.31619,-0.056959,4097543.811834,0.320763,0.213514,75.159848,3707139.3,0
0.00403,0.31197,0.299414,76.452803,0.004452,0.003435,0.316985,-0.063272,4082905.591659,0.322533,0.168453,79.261652,3943842.5,0
0.003914,0.312583,0.299694,76.452803,0.004677,0.003683,0.31795,-0.064238,3966066.201977,0.323845,0.264801,79.261652,2856092.0,0
0.003856,0.31312,0.299959,71.875035,0.004696,0.003886,0.318735,-0.064287,3968546.439884,0.324247,0.217875,65.248946,3992108.7,0
0.00373,0.313649,0.300224,72.287417,0.004681,0.004045,0.319455,-0.064677,3763060.074181,0.324767,0.257575,70.881491,1810939.6,0
0.003685,0.31413,0.300479,69.718686,0.00456,0.004148,0.32002,-0.065259,3727914.629021,0.324925,0.20316,60.03911,3394032.9,0
0.003829,0.314607,0.300736,70.366698,0.004446,0.004207,0.320645,-0.064709,3806380.950066,0.325121,0.200671,65.730021,4551811.0,0
0.00372,0.315057,0.300989,69.565105,0.004289,0.004224,0.32128,-0.062706,3661530.688155,0.325311,0.192101,56.978348,2285453.2,0
0.00369,0.315538,0.30125,71.651752,0.004213,0.004222,0.32204,-0.05877,3669562.117855,0.325619,0.152802,62.052713,3745860.7,0
0.003669,0.315975,0.301504,69.100728,0.004058,0.004189,0.322705,-0.054452,3491515.725678,0.325678,0.136737,55.267024,1800075.0,0
0.003707,0.316266,0.301721,57.066544,0.003627,0.004077,0.32316,-0.048862,3597840.694661,0.325576,0.103034,49.817987,4607927.9,0
0.003628,0.316444,0.301911,49.719615,0.003041,0.003869,0.323355,-0.046061,3672429.552312,0.324605,0.028241,45.44689,4381023.7,0
